Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert
750002255,75,48.885482,2.325923,Maison Perce-Neige Alternance de Paris,920809829,Fondation Perce-Neige,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,19,1997
750021669,75,48.852796,2.371339,IME les Petites Victoires,750021628,ASAP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,21,2005
750022758,75,48.837132,2.293283,IME Cognacq Jay,750720468,Fondation Cognacq-Jay,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,21,2006
750037962,75,48.877757,2.393424,IMPro APAJH Faites des Couleurs,750002586,APAJH Paris,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,42,2001
750038929,75,48.857871,2.366638,IME Cour de Venise,750063521,Association Autisme en Île-de-France,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,25,2008
750042954,75,48.874975,2.369537,IME Norbert Dana,750042921,ABPIEH,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,53,2006
750047045,75,48.830442,2.365817,IME Agir et Vivre l'Autisme,750062234,Association Agir et Vivre l’Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,62,2009
750047086,75,48.843855,2.405359,MAIA Autisme de Paris,750047078,MAIA Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,54,2009
750049603,75,48.834684,2.297906,IME Saint Michel,750720534,Vivre et devenir Villepinte St Michel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,25,2016
750051526,75,48.893899,2.35392,IME Centre Robert Doisneau,690793435,Fondation OVE,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,27,2013
750062986,75,48.885529,2.390137,EEEH Silence des Justes,750037228,Association Ohalei Yaacov – Le Silence des Justes,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,58,ARS dotation forfait ou prix de journée globalisé hors CPOM,32,2019
750690018,75,48.858001,2.358848,IME Binet Simon,750002586,APAJH Paris,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1966
750690042,75,48.894069,2.31214,IME HOVIA,750721029,Association HOVIA,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,67,1977
750690075,75,48.870953,2.369373,IME Suzanne Cordes,930027024,ASS ARERAM,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1952
750690141,75,48.875394,2.391695,IME de Belleville,750818726,Groupe Oeuvres Sociales de Belleville,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1964
750690174,75,48.88781,2.320045,EMP et EMPro,750720781,Asso Bernard et Philippe Lafay,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1971
