Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert,walkscore,ws_link
750002255,75,48.885482,2.325923,Maison Perce-Neige Alternance de Paris,920809829,Fondation Perce-Neige,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,19,1997,99,https://www.walkscore.com/score/loc/lat=48.88548/lng=2.325923/
750021669,75,48.852796,2.371339,IME les Petites Victoires,750021628,ASAP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,21,2005,100,https://www.walkscore.com/score/loc/lat=48.8528/lng=2.371339/
750022758,75,48.837132,2.293283,IME Cognacq Jay,750720468,Fondation Cognacq-Jay,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,21,2006,99,https://www.walkscore.com/score/loc/lat=48.83713/lng=2.293283/
750037962,75,48.877757,2.393424,IMPro APAJH Faites des Couleurs,750002586,APAJH Paris,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,42,2001,98,https://www.walkscore.com/score/loc/lat=48.87776/lng=2.393424/
750038929,75,48.857871,2.366638,IME Cour de Venise,750063521,Association Autisme en Île-de-France,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,25,2008,99,https://www.walkscore.com/score/loc/lat=48.85787/lng=2.366638/
750042954,75,48.874975,2.369537,IME Norbert Dana,750042921,ABPIEH,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,53,2006,99,https://www.walkscore.com/score/loc/lat=48.87497/lng=2.369537/
750047045,75,48.830442,2.365817,IME Agir et Vivre l'Autisme,750062234,Association Agir et Vivre l’Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,62,2009,95,https://www.walkscore.com/score/loc/lat=48.83044/lng=2.365817/
750047086,75,48.843855,2.405359,MAIA Autisme de Paris,750047078,MAIA Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,54,2009,98,https://www.walkscore.com/score/loc/lat=48.84385/lng=2.405359/
750049603,75,48.834684,2.297906,IME Saint Michel,750720534,Vivre et devenir Villepinte St Michel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,25,2016,82,https://www.walkscore.com/score/loc/lat=48.83468/lng=2.297906/
750051526,75,48.893899,2.35392,IME Centre Robert Doisneau,690793435,Fondation OVE,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,27,2013,96,https://www.walkscore.com/score/loc/lat=48.8939/lng=2.35392/
750062986,75,48.885529,2.390137,EEEH Silence des Justes,750037228,Association Ohalei Yaacov – Le Silence des Justes,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,58,ARS dotation forfait ou prix de journée globalisé hors CPOM,32,2019,98,https://www.walkscore.com/score/loc/lat=48.88553/lng=2.390137/
750690018,75,48.858001,2.358848,IME Binet Simon,750002586,APAJH Paris,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1966,100,https://www.walkscore.com/score/loc/lat=48.858/lng=2.358848/
750690042,75,48.894069,2.31214,IME HOVIA,750721029,Association HOVIA,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,67,1977,92,https://www.walkscore.com/score/loc/lat=48.89407/lng=2.31214/
750690075,75,48.870953,2.369373,IME Suzanne Cordes,930027024,ASS ARERAM,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1952,99,https://www.walkscore.com/score/loc/lat=48.87095/lng=2.369373/
750690141,75,48.875394,2.391695,IME de Belleville,750818726,Groupe Oeuvres Sociales de Belleville,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1964,98,https://www.walkscore.com/score/loc/lat=48.87539/lng=2.391695/
750690174,75,48.88781,2.320045,EMP et EMPro,750720781,Asso Bernard et Philippe Lafay,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1971,100,https://www.walkscore.com/score/loc/lat=48.88781/lng=2.320045/
